F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.032940015
y: 0.03410682
z: 0.040869065
","x: -0.049448263
y: 0.021451635
z: 0.021358514
","x: -0.059627093
y: 0.002314277
z: -0.015575652
","x: -0.07194643
y: -0.019637294
z: -0.028234791
","x: -0.016454434
y: -0.008591479
z: -0.0046033855
","x: -0.016243521
y: -0.037441492
z: -0.01430082
","x: -0.020772949
y: -0.04284895
z: -0.039642937
","x: -0.028373493
y: -0.028311703
z: -0.08025943
","x: -0.00059397874
y: -0.0027182768
z: -0.0017695256
","x: 0.01636454
y: -0.020345714
z: -0.01857765
","x: 0.02113423
y: -0.021130504
z: -0.0540877
","x: 0.013282237
y: -0.00410663
z: -0.09835345
"
"x: -0.03296022
y: 0.029594064
z: 0.043516267
","x: -0.04717141
y: 0.01775518
z: 0.025144132
","x: -0.05631188
y: 0.0027496945
z: -0.012706818
","x: -0.06616269
y: -0.01889397
z: -0.03058695
","x: -0.012704779
y: -0.009779982
z: -0.0020948697
","x: -0.012561148
y: -0.03899944
z: -0.012346493
","x: -0.018920437
y: -0.042625092
z: -0.03943387
","x: -0.030356038
y: -0.028367283
z: -0.076565325
","x: 0.0010205165
y: -0.0036247547
z: -0.0015468161
","x: 0.017948408
y: -0.020618094
z: -0.016628513
","x: 0.0208839
y: -0.023904722
z: -0.04962793
","x: 0.010785801
y: -0.009097707
z: -0.090096116
"
"x: -0.033076048
y: 0.034787893
z: 0.038921017
","x: -0.048478175
y: 0.021256443
z: 0.018720396
","x: -0.058767162
y: 0.0025717951
z: -0.01742282
","x: -0.070130885
y: -0.020572996
z: -0.029953713
","x: -0.014064478
y: -0.008891278
z: -0.0034641621
","x: -0.013680019
y: -0.0389946
z: -0.0124613065
","x: -0.020160798
y: -0.042832274
z: -0.039156053
","x: -0.0317699
y: -0.027042624
z: -0.077050306
","x: -1.4020363e-05
y: -0.0032508648
z: -0.0013187197
","x: 0.016091146
y: -0.022844447
z: -0.016637176
","x: 0.019005496
y: -0.022911606
z: -0.052119162
","x: 0.010414166
y: -0.0060454593
z: -0.0959384
"
"x: -0.033595838
y: 0.033675402
z: 0.039284687
","x: -0.04849439
y: 0.019752918
z: 0.021367764
","x: -0.05723401
y: 0.0018418785
z: -0.013095038
","x: -0.067134365
y: -0.021605965
z: -0.028580623
","x: -0.013227294
y: -0.009637632
z: -0.0020234468
","x: -0.013045701
y: -0.039766412
z: -0.011893693
","x: -0.018899174
y: -0.04249465
z: -0.03621951
","x: -0.030215897
y: -0.026812047
z: -0.07315625
","x: 0.00033245469
y: -0.00392312
z: -0.0013694664
","x: 0.016612088
y: -0.021397933
z: -0.015421708
","x: 0.019477297
y: -0.022696082
z: -0.048050728
","x: 0.010872381
y: -0.007176135
z: -0.08833134
"
"x: -0.03280805
y: 0.03590466
z: 0.042311963
","x: -0.048708074
y: 0.02051687
z: 0.02430265
","x: -0.06369136
y: -0.0006556716
z: -0.00555499
","x: -0.07823133
y: -0.025955953
z: -0.019439949
","x: -0.016784182
y: -0.008562511
z: -0.00423963
","x: -0.014216449
y: -0.032278433
z: -0.01576797
","x: -0.016457431
y: -0.04411353
z: -0.036139503
","x: -0.017478477
y: -0.051350676
z: -0.07367673
","x: 5.884806e-05
y: -0.0037463163
z: -0.0015387536
","x: 0.010327951
y: -0.016701443
z: -0.02238994
","x: 0.01939915
y: -0.02406504
z: -0.059084423
","x: 0.023963254
y: -0.020375168
z: -0.10573384
"
"x: -0.028456075
y: 0.034928188
z: 0.04350801
","x: -0.049023997
y: 0.020573635
z: 0.023549786
","x: -0.06471728
y: 0.0005336907
z: -0.012265642
","x: -0.08090091
y: -0.02146987
z: -0.022878824
","x: -0.01900782
y: -0.0065441695
z: -0.006379869
","x: -0.0151492
y: -0.033999674
z: -0.017807182
","x: -0.015205713
y: -0.04873921
z: -0.033001557
","x: -0.012436051
y: -0.0613889
z: -0.06573265
","x: -0.00065868703
y: -0.0034796973
z: -0.002369396
","x: 0.010434885
y: -0.016714567
z: -0.025014771
","x: 0.021342045
y: -0.024419183
z: -0.057897594
","x: 0.03690562
y: -0.027394941
z: -0.10716219
"
"x: -0.031558216
y: 0.034425028
z: 0.04229501
","x: -0.049660806
y: 0.019630462
z: 0.024091005
","x: -0.0646525
y: -0.0012507569
z: -0.00981595
","x: -0.08056642
y: -0.02352827
z: -0.020242274
","x: -0.017480379
y: -0.007837088
z: -0.0047566746
","x: -0.014961921
y: -0.03746424
z: -0.015027589
","x: -0.015352151
y: -0.05303017
z: -0.027052652
","x: -0.011756944
y: -0.067815796
z: -0.057302363
","x: -8.5542095e-05
y: -0.0036679062
z: -0.001434075
","x: 0.012053555
y: -0.018909698
z: -0.02109191
","x: 0.025729114
y: -0.028947856
z: -0.049399193
","x: 0.04224507
y: -0.03593068
z: -0.09523755
"
"x: -0.031639304
y: 0.03254319
z: 0.046108957
","x: -0.04922428
y: 0.019138034
z: 0.029646602
","x: -0.06324293
y: -0.0035446975
z: -0.005356071
","x: -0.0813947
y: -0.02631856
z: -0.016632749
","x: -0.01622981
y: -0.009398857
z: -0.0054478766
","x: -0.014601759
y: -0.039619002
z: -0.013909903
","x: -0.016636267
y: -0.05271429
z: -0.026062554
","x: -0.01369915
y: -0.06823684
z: -0.05686049
","x: 4.505017e-05
y: -0.0037831862
z: -0.0015846043
","x: 0.01402894
y: -0.019947425
z: -0.019410016
","x: 0.028676754
y: -0.030950556
z: -0.04525787
","x: 0.04448154
y: -0.03605677
z: -0.09118701
"
"x: -0.03234245
y: 0.033052757
z: 0.042955924
","x: -0.04883106
y: 0.019426955
z: 0.026182935
","x: -0.062365875
y: -0.0036359727
z: -0.007061775
","x: -0.08052636
y: -0.026088865
z: -0.016721161
","x: -0.015506719
y: -0.008731818
z: -0.00585502
","x: -0.014235837
y: -0.039395805
z: -0.0140506225
","x: -0.015910016
y: -0.053894438
z: -0.025701512
","x: -0.012093946
y: -0.06952624
z: -0.056739688
","x: 6.467139e-05
y: -0.0037653462
z: -0.001426632
","x: 0.014665405
y: -0.020592254
z: -0.017637847
","x: 0.029617544
y: -0.032557122
z: -0.042629294
","x: 0.046477303
y: -0.039248418
z: -0.08856906
"
"x: -0.033275224
y: 0.03280703
z: 0.043736696
","x: -0.049790863
y: 0.018040288
z: 0.028243471
","x: -0.06349886
y: -0.0052534565
z: -0.0047665094
","x: -0.08097692
y: -0.028652659
z: -0.014308996
","x: -0.015431793
y: -0.01022012
z: -0.0044907643
","x: -0.013822746
y: -0.03978654
z: -0.012538525
","x: -0.014744088
y: -0.054639343
z: -0.023696689
","x: -0.010225531
y: -0.07036678
z: -0.05450551
","x: 0.00030919886
y: -0.0036370626
z: -0.0011803131
","x: 0.015371392
y: -0.020084638
z: -0.018961418
","x: 0.031227741
y: -0.03202373
z: -0.04233189
","x: 0.047653742
y: -0.03878115
z: -0.086943865
"
"x: -0.034568787
y: 0.03125049
z: 0.046257388
","x: -0.049202487
y: 0.016847458
z: 0.030992871
","x: -0.06137639
y: -0.007137941
z: -0.004685601
","x: -0.07947202
y: -0.0301129
z: -0.015657185
","x: -0.014818167
y: -0.010344749
z: -0.0040878146
","x: -0.012298867
y: -0.04030641
z: -0.012466555
","x: -0.013086714
y: -0.054851826
z: -0.024495035
","x: -0.009805631
y: -0.07115454
z: -0.055730704
","x: 0.0008727938
y: -0.004264692
z: -0.0012986319
","x: 0.014807161
y: -0.020905266
z: -0.01863184
","x: 0.030247215
y: -0.033506192
z: -0.040884033
","x: 0.044592805
y: -0.039429177
z: -0.08469198
"
"x: -0.031555526
y: 0.030265015
z: 0.049082078
","x: -0.04765229
y: 0.015002575
z: 0.033533517
","x: -0.06037299
y: -0.009296783
z: 0.0002634798
","x: -0.07717875
y: -0.033465676
z: -0.011761545
","x: -0.014313028
y: -0.011209465
z: -0.0031320571
","x: -0.012510732
y: -0.041016154
z: -0.011284616
","x: -0.013972359
y: -0.054798752
z: -0.023321936
","x: -0.011012247
y: -0.06910761
z: -0.054010365
","x: 0.000752716
y: -0.004349534
z: -0.0014721524
","x: 0.015280617
y: -0.0221031
z: -0.017324861
","x: 0.030253615
y: -0.03363507
z: -0.03881703
","x: 0.0462558
y: -0.039779168
z: -0.08141757
"
"x: -0.034369834
y: 0.031504795
z: 0.043172047
","x: -0.048002344
y: 0.01621024
z: 0.029492972
","x: -0.05865956
y: -0.007790217
z: -0.002507068
","x: -0.07524702
y: -0.0324552
z: -0.011486651
","x: -0.01319271
y: -0.010124326
z: -0.0028047676
","x: -0.013040806
y: -0.039731927
z: -0.0096840905
","x: -0.012876118
y: -0.054727543
z: -0.019636264
","x: -0.010431632
y: -0.06959347
z: -0.049518272
","x: 0.00092271384
y: -0.004009915
z: -0.0005416388
","x: 0.017487053
y: -0.021298293
z: -0.015333362
","x: 0.035707876
y: -0.034243442
z: -0.034369454
","x: 0.05306319
y: -0.042448163
z: -0.07627167
"
"x: -0.032271713
y: 0.02789228
z: 0.048676126
","x: -0.047286294
y: 0.013764457
z: 0.032586217
","x: -0.05812639
y: -0.009465679
z: -0.0026201273
","x: -0.074091785
y: -0.03239908
z: -0.012057997
","x: -0.014354976
y: -0.01007613
z: -0.0035728798
","x: -0.012634868
y: -0.039074995
z: -0.012179833
","x: -0.013554884
y: -0.053807013
z: -0.02495735
","x: -0.011562837
y: -0.06760302
z: -0.05736937
","x: 0.00077046634
y: -0.0034656944
z: -0.0017806267
","x: 0.016951997
y: -0.020889252
z: -0.016971795
","x: 0.03396263
y: -0.034117814
z: -0.040058356
","x: 0.049727447
y: -0.041023422
z: -0.083633214
"
"x: -0.03236375
y: 0.030829882
z: 0.046434112
","x: -0.048256543
y: 0.01529804
z: 0.031567827
","x: -0.059370413
y: -0.008833998
z: -0.0019336214
","x: -0.07602973
y: -0.033750266
z: -0.010702879
","x: -0.014544886
y: -0.010338979
z: -0.00460272
","x: -0.01324291
y: -0.03805347
z: -0.012551098
","x: -0.014014743
y: -0.052916355
z: -0.022692898
","x: -0.011819614
y: -0.067666985
z: -0.052298896
","x: 0.0007029054
y: -0.0036287566
z: -0.001421738
","x: 0.016948685
y: -0.020131364
z: -0.017981272
","x: 0.033503935
y: -0.03228494
z: -0.038554538
","x: 0.049518444
y: -0.03896749
z: -0.08086449
"
"x: -0.032728616
y: 0.03019008
z: 0.046511833
","x: -0.048406906
y: 0.015743991
z: 0.031524707
","x: -0.058794055
y: -0.0074807107
z: -0.0021658405
","x: -0.07631011
y: -0.031191772
z: -0.0117175225
","x: -0.014007803
y: -0.010769317
z: -0.0037497864
","x: -0.012426301
y: -0.03945223
z: -0.012355862
","x: -0.012622941
y: -0.054816466
z: -0.022741683
","x: -0.010142624
y: -0.06887536
z: -0.055182982
","x: 0.0010110628
y: -0.0035592185
z: -0.0013039316
","x: 0.016510366
y: -0.02092168
z: -0.016494555
","x: 0.034102578
y: -0.033773433
z: -0.037686422
","x: 0.050116837
y: -0.041468475
z: -0.080906205
"
"x: -0.033430964
y: 0.029718885
z: 0.04624126
","x: -0.047250733
y: 0.01502398
z: 0.030891344
","x: -0.05831782
y: -0.008370622
z: -0.0024537093
","x: -0.07403292
y: -0.032486405
z: -0.011624741
","x: -0.0146013675
y: -0.01011337
z: -0.003996904
","x: -0.013524082
y: -0.038292985
z: -0.012382945
","x: -0.013604103
y: -0.053491093
z: -0.023230609
","x: -0.010681046
y: -0.068556085
z: -0.054116234
","x: 0.00054226693
y: -0.003553653
z: -0.0013171398
","x: 0.016606187
y: -0.020381749
z: -0.017088063
","x: 0.03412403
y: -0.034548268
z: -0.038447313
","x: 0.050352134
y: -0.041445628
z: -0.08109649
"
"x: -0.03233019
y: 0.028358815
z: 0.04840812
","x: -0.047141783
y: 0.01344017
z: 0.032111313
","x: -0.058391932
y: -0.010100879
z: -0.0016823442
","x: -0.07556554
y: -0.033271097
z: -0.012079485
","x: -0.014059709
y: -0.010780976
z: -0.003430382
","x: -0.012591004
y: -0.040510565
z: -0.012015247
","x: -0.014138833
y: -0.054762743
z: -0.024407735
","x: -0.011693483
y: -0.06935959
z: -0.054950103
","x: 0.00076065474
y: -0.0035706235
z: -0.0017000276
","x: 0.016268898
y: -0.021160118
z: -0.01626213
","x: 0.032310337
y: -0.034086257
z: -0.037890602
","x: 0.04927475
y: -0.041110154
z: -0.07996494
"
"x: -0.03098913
y: 0.030722886
z: 0.049868383
","x: -0.04679386
y: 0.01603084
z: 0.033454467
","x: -0.06174446
y: -0.006544754
z: -0.0018311674
","x: -0.080754995
y: -0.028297372
z: -0.01208998
","x: -0.014436471
y: -0.011933725
z: -0.0037006203
","x: -0.01510709
y: -0.039968148
z: -0.012106861
","x: -0.015529364
y: -0.05428285
z: -0.024417484
","x: -0.014408771
y: -0.068469845
z: -0.056238204
","x: 0.00055744115
y: -0.0041613723
z: -0.001259803
","x: 0.015858948
y: -0.022285592
z: -0.018449452
","x: 0.03130174
y: -0.035138242
z: -0.038826182
","x: 0.04671569
y: -0.04281729
z: -0.07954712
"
"x: -0.029324029
y: 0.031621672
z: 0.049699184
","x: -0.04634645
y: 0.019858912
z: 0.031310163
","x: -0.061575778
y: 0.00045349263
z: -0.0053520906
","x: -0.08306613
y: -0.018180752
z: -0.015407464
","x: -0.01486533
y: -0.00894523
z: -0.005294668
","x: -0.01481481
y: -0.038968496
z: -0.014495043
","x: -0.015053
y: -0.053754505
z: -0.026018765
","x: -0.012450097
y: -0.06901798
z: -0.05823201
","x: 1.9544968e-06
y: -0.0037667656
z: -0.0017793311
","x: 0.015100919
y: -0.021159241
z: -0.017078679
","x: 0.031424657
y: -0.035233006
z: -0.03988743
","x: 0.04847411
y: -0.04435886
z: -0.08302753
"
"x: -0.028382465
y: 0.035079923
z: 0.052264698
","x: -0.04821945
y: 0.024303474
z: 0.032453496
","x: -0.067805216
y: 0.007578578
z: -0.00831477
","x: -0.08881335
y: -0.009225981
z: -0.02234958
","x: -0.015580141
y: -0.010435588
z: -0.0051377267
","x: -0.015679296
y: -0.040504687
z: -0.014128569
","x: -0.016676199
y: -0.055487134
z: -0.0258076
","x: -0.013790205
y: -0.07087725
z: -0.055082697
","x: 0.00012773881
y: -0.0047706175
z: -0.002072778
","x: 0.016881399
y: -0.024341872
z: -0.019593308
","x: 0.03314378
y: -0.036458384
z: -0.042346336
","x: 0.050307732
y: -0.044680044
z: -0.0860163
"
"x: -0.028475126
y: 0.035528526
z: 0.054472473
","x: -0.049307175
y: 0.026572095
z: 0.03504957
","x: -0.070439965
y: 0.01335361
z: -0.00734167
","x: -0.092877515
y: -0.0011335537
z: -0.023650294
","x: -0.01599923
y: -0.009879813
z: -0.0039656134
","x: -0.015312635
y: -0.040681265
z: -0.013396666
","x: -0.015159638
y: -0.05601059
z: -0.024112044
","x: -0.011593232
y: -0.07198777
z: -0.05519888
","x: -0.00046604
y: -0.004386391
z: -0.0019723854
","x: 0.015463369
y: -0.025156155
z: -0.019743124
","x: 0.0323769
y: -0.037075575
z: -0.04333146
","x: 0.049403958
y: -0.046066273
z: -0.08605568
"
"x: -0.025132693
y: 0.03737592
z: 0.051657844
","x: -0.045214206
y: 0.030280732
z: 0.032345485
","x: -0.06727128
y: 0.018007442
z: -0.008400901
","x: -0.09206326
y: 0.006330209
z: -0.023265224
","x: -0.014720409
y: -0.009363885
z: -0.0036992526
","x: -0.016982056
y: -0.0403014
z: -0.010115651
","x: -0.01563402
y: -0.056637637
z: -0.020980176
","x: -0.011193046
y: -0.07212687
z: -0.049775407
","x: -0.0002668103
y: -0.004151316
z: -0.0015719488
","x: 0.015014299
y: -0.025700688
z: -0.019040087
","x: 0.031861313
y: -0.036700983
z: -0.042027157
","x: 0.047968112
y: -0.0469396
z: -0.08286193
"
"x: -0.023456924
y: 0.037106626
z: 0.055853937
","x: -0.04551591
y: 0.031144239
z: 0.035671346
","x: -0.0689383
y: 0.0222069
z: -0.008044761
","x: -0.09251482
y: 0.012385281
z: -0.026338521
","x: -0.01558788
y: -0.009277719
z: -0.0033814437
","x: -0.017383408
y: -0.03970647
z: -0.010938828
","x: -0.016510163
y: -0.056655437
z: -0.02074751
","x: -0.012727823
y: -0.07313483
z: -0.049160097
","x: -0.0006034323
y: -0.004458308
z: -0.002047099
","x: 0.013449923
y: -0.025238588
z: -0.019836823
","x: 0.030313125
y: -0.037528347
z: -0.042995606
","x: 0.04667855
y: -0.049590178
z: -0.08391269
"
"x: -0.019237971
y: 0.035672806
z: 0.0569441
","x: -0.04126862
y: 0.033821534
z: 0.036888804
","x: -0.0663947
y: 0.029157877
z: -0.007637643
","x: -0.090267606
y: 0.02273988
z: -0.028037064
","x: -0.015532601
y: -0.008330559
z: -0.003992943
","x: -0.019473065
y: -0.03791774
z: -0.010238241
","x: -0.018350795
y: -0.055069655
z: -0.020820221
","x: -0.013553261
y: -0.072295725
z: -0.048437107
","x: -0.0008467348
y: -0.0039864047
z: -0.0021246183
","x: 0.011818429
y: -0.024444167
z: -0.020807408
","x: 0.028996415
y: -0.03718743
z: -0.04428274
","x: 0.046583164
y: -0.050011683
z: -0.08623103
"
"x: -0.019261897
y: 0.036063652
z: 0.056850802
","x: -0.041543845
y: 0.036450062
z: 0.034732975
","x: -0.06512814
y: 0.035396673
z: -0.009841653
","x: -0.08745034
y: 0.030851152
z: -0.03125689
","x: -0.016688386
y: -0.0066309837
z: -0.0044948203
","x: -0.019823104
y: -0.034426518
z: -0.01069645
","x: -0.018004552
y: -0.055161435
z: -0.01913071
","x: -0.011415469
y: -0.07264824
z: -0.04535232
","x: -0.0009614822
y: -0.0032109667
z: -0.0022935544
","x: 0.011853812
y: -0.022350729
z: -0.020959795
","x: 0.02949669
y: -0.035809558
z: -0.045264803
","x: 0.04699947
y: -0.049762066
z: -0.0879712
"
"x: -0.017315382
y: 0.034560498
z: 0.059450313
","x: -0.040336378
y: 0.035417274
z: 0.036915157
","x: -0.06243394
y: 0.03599656
z: -0.009301921
","x: -0.08372333
y: 0.030626625
z: -0.033450156
","x: -0.016866613
y: -0.007187642
z: -0.0040832045
","x: -0.01989042
y: -0.03567826
z: -0.008949721
","x: -0.018581465
y: -0.056247097
z: -0.017563527
","x: -0.0123615395
y: -0.07249047
z: -0.040463597
","x: -0.0007879551
y: -0.0030022927
z: -0.0023617675
","x: 0.010883398
y: -0.023093278
z: -0.021504262
","x: 0.028191458
y: -0.03607352
z: -0.04482052
","x: 0.04594158
y: -0.050958317
z: -0.08498315
"
"x: -0.017263295
y: 0.034902755
z: 0.057818484
","x: -0.040087324
y: 0.03599825
z: 0.03528064
","x: -0.061420858
y: 0.037096437
z: -0.010559969
","x: -0.08274543
y: 0.03350264
z: -0.03365088
","x: -0.016516961
y: -0.00710248
z: -0.0039198208
","x: -0.020599054
y: -0.03484471
z: -0.0084551675
","x: -0.018814038
y: -0.05521877
z: -0.01706255
","x: -0.012213667
y: -0.07120097
z: -0.03952012
","x: -0.0007967155
y: -0.002767349
z: -0.0021805405
","x: 0.012313119
y: -0.022589663
z: -0.021319728
","x: 0.031142358
y: -0.034944203
z: -0.04552356
","x: 0.04851091
y: -0.051846832
z: -0.08585631
"
"x: -0.017147617
y: 0.032785445
z: 0.06168082
","x: -0.039572366
y: 0.036064655
z: 0.037016496
","x: -0.06100743
y: 0.03888301
z: -0.010377122
","x: -0.083442636
y: 0.034778543
z: -0.033709135
","x: -0.016998304
y: -0.006013433
z: -0.0052451342
","x: -0.021071736
y: -0.034575835
z: -0.010487217
","x: -0.019524671
y: -0.055127285
z: -0.018159287
","x: -0.012954397
y: -0.07203127
z: -0.043129347
","x: -0.0010055136
y: -0.0026125384
z: -0.0028198296
","x: 0.010856774
y: -0.021713506
z: -0.021298254
","x: 0.028891072
y: -0.0350838
z: -0.045410763
","x: 0.046920028
y: -0.050058547
z: -0.08788124
"
"x: -0.017977964
y: 0.034610797
z: 0.05904826
","x: -0.04081722
y: 0.03553293
z: 0.037274603
","x: -0.062702246
y: 0.037919097
z: -0.0097251255
","x: -0.0835876
y: 0.033665285
z: -0.035035413
","x: -0.016864082
y: -0.006720809
z: -0.0030497795
","x: -0.0215953
y: -0.035397567
z: -0.008362994
","x: -0.020235464
y: -0.05577645
z: -0.016833024
","x: -0.013301533
y: -0.07233857
z: -0.037503697
","x: -0.00085533503
y: -0.0029999425
z: -0.0018917093
","x: 0.0116753355
y: -0.022925925
z: -0.02130902
","x: 0.03030149
y: -0.03610846
z: -0.044549745
","x: 0.04736241
y: -0.052255817
z: -0.0849877
"
"x: -0.020934708
y: 0.038614772
z: 0.054452024
","x: -0.04383612
y: 0.034166858
z: 0.031903643
","x: -0.06731229
y: 0.02865079
z: -0.012469347
","x: -0.08772704
y: 0.020262722
z: -0.033602938
","x: -0.016516171
y: -0.007015883
z: -0.0033029355
","x: -0.019122332
y: -0.03565597
z: -0.009057417
","x: -0.017989602
y: -0.056189787
z: -0.01624141
","x: -0.011960853
y: -0.07369796
z: -0.03983954
","x: -0.0006999979
y: -0.0043115066
z: -0.0020042742
","x: 0.012640038
y: -0.02365749
z: -0.021571638
","x: 0.029627003
y: -0.035077836
z: -0.045796845
","x: 0.047772214
y: -0.049434427
z: -0.08877851
"
"x: -0.022657886
y: 0.039666325
z: 0.05216229
","x: -0.04675611
y: 0.031615563
z: 0.03220513
","x: -0.07091546
y: 0.020361263
z: -0.0075114444
","x: -0.094309874
y: 0.009041541
z: -0.0229809
","x: -0.017928332
y: -0.008614117
z: -0.0032047464
","x: -0.018958978
y: -0.03745699
z: -0.01036454
","x: -0.01916352
y: -0.056250308
z: -0.017851045
","x: -0.013637972
y: -0.07419445
z: -0.045213528
","x: -0.0010112841
y: -0.003928549
z: -0.0018990479
","x: 0.011790903
y: -0.023157971
z: -0.021067595
","x: 0.02685339
y: -0.03509063
z: -0.04478092
","x: 0.04453488
y: -0.048924387
z: -0.08578862
"
"x: -0.025478456
y: 0.03922702
z: 0.051187396
","x: -0.046016335
y: 0.02895765
z: 0.03168221
","x: -0.06706073
y: 0.013033474
z: -0.004755799
","x: -0.08800212
y: -0.0009005787
z: -0.021290451
","x: -0.017458243
y: -0.0088313315
z: -0.001718404
","x: -0.018167986
y: -0.03904279
z: -0.010428022
","x: -0.017705541
y: -0.057618827
z: -0.017374152
","x: -0.013352648
y: -0.074291706
z: -0.047095492
","x: -0.0008915523
y: -0.0052502416
z: -0.0011654571
","x: 0.01280159
y: -0.023263058
z: -0.019510996
","x: 0.027234333
y: -0.035683807
z: -0.04232191
","x: 0.045013264
y: -0.047802232
z: -0.081977166
"
"x: -0.027370196
y: 0.038055353
z: 0.04989196
","x: -0.045508124
y: 0.026096998
z: 0.030116834
","x: -0.06462241
y: 0.009005984
z: -0.006047912
","x: -0.086131856
y: -0.009211138
z: -0.018772447
","x: -0.01678921
y: -0.009165297
z: -0.003355324
","x: -0.017709145
y: -0.038552422
z: -0.011960975
","x: -0.017393515
y: -0.056738187
z: -0.020014811
","x: -0.012260848
y: -0.07337341
z: -0.049776647
","x: -0.000586791
y: -0.0045549
z: -0.001417203
","x: 0.012549062
y: -0.023072418
z: -0.019181889
","x: 0.027059186
y: -0.035850298
z: -0.041971758
","x: 0.045029048
y: -0.048367582
z: -0.083737954
"
"x: -0.030275341
y: 0.038879108
z: 0.041020833
","x: -0.046590537
y: 0.024147931
z: 0.027006542
","x: -0.05963799
y: 0.0001148358
z: -0.005197921
","x: -0.07895981
y: -0.02209625
z: -0.0127507765
","x: -0.017139982
y: -0.009108001
z: -0.0040127444
","x: -0.018344045
y: -0.03971003
z: -0.011116657
","x: -0.019325558
y: -0.056249857
z: -0.019084178
","x: -0.01620946
y: -0.07235364
z: -0.049252264
","x: -0.00011384825
y: -0.0044822665
z: -0.00079211436
","x: 0.013244479
y: -0.022600953
z: -0.017024968
","x: 0.029811122
y: -0.0371341
z: -0.037306532
","x: 0.04663698
y: -0.04931671
z: -0.078740574
"
"x: -0.02996333
y: 0.035011925
z: 0.044763613
","x: -0.04551437
y: 0.019683298
z: 0.029331645
","x: -0.057707246
y: -0.0034340685
z: -0.0030420697
","x: -0.07626467
y: -0.027221128
z: -0.012279691
","x: -0.016879901
y: -0.008805133
z: -0.0047442103
","x: -0.017502423
y: -0.039572734
z: -0.0122457035
","x: -0.019138534
y: -0.05574073
z: -0.021730827
","x: -0.01792915
y: -0.0719266
z: -0.048383012
","x: 0.00027724297
y: -0.0040908554
z: -0.0009827568
","x: 0.0144208465
y: -0.022452755
z: -0.016803898
","x: 0.029492168
y: -0.03842438
z: -0.03582551
","x: 0.04711378
y: -0.04779739
z: -0.07647862
"
"x: -0.031215165
y: 0.035355113
z: 0.04150485
","x: -0.04620289
y: 0.019357733
z: 0.027646452
","x: -0.05698363
y: -0.0057808887
z: -0.0030613912
","x: -0.0746889
y: -0.03125851
z: -0.011018317
","x: -0.017425153
y: -0.009168288
z: -0.004092567
","x: -0.017669018
y: -0.039482154
z: -0.011632724
","x: -0.018836249
y: -0.055044413
z: -0.02117113
","x: -0.01762753
y: -0.07137505
z: -0.047864273
","x: 0.00019734126
y: -0.0037850407
z: -0.00079716067
","x: 0.014327576
y: -0.02253076
z: -0.01651492
","x: 0.029268404
y: -0.038156055
z: -0.035249464
","x: 0.04669878
y: -0.047865935
z: -0.07531916
"
"x: -0.031566598
y: 0.035502136
z: 0.041274104
","x: -0.046219684
y: 0.019274782
z: 0.02715612
","x: -0.057277426
y: -0.005433454
z: -0.0033881555
","x: -0.075299904
y: -0.03144877
z: -0.011584684
","x: -0.017660236
y: -0.0092952745
z: -0.004447146
","x: -0.017742258
y: -0.04004266
z: -0.011849518
","x: -0.01907712
y: -0.0556616
z: -0.021393565
","x: -0.01746021
y: -0.07214413
z: -0.047897823
","x: 0.00030439033
y: -0.003804308
z: -0.00062790484
","x: 0.014078805
y: -0.022500899
z: -0.016562555
","x: 0.029261447
y: -0.03855011
z: -0.034745235
","x: 0.046208058
y: -0.04859917
z: -0.07451346
"
"x: -0.03283176
y: 0.034704015
z: 0.03592157
","x: -0.045453444
y: 0.01621034
z: 0.023797248
","x: -0.053507123
y: -0.008968664
z: -0.0051546027
","x: -0.06701643
y: -0.038359087
z: -0.010956692
","x: -0.0171029
y: -0.009531476
z: -0.0037277986
","x: -0.016444474
y: -0.04007161
z: -0.010722073
","x: -0.016826525
y: -0.056590978
z: -0.019927667
","x: -0.015009068
y: -0.07201746
z: -0.04570598
","x: 0.000639958
y: -0.003917091
z: -0.00028065217
","x: 0.014382704
y: -0.02180484
z: -0.015685938
","x: 0.029108368
y: -0.03815892
z: -0.03454639
","x: 0.04836797
y: -0.05053594
z: -0.07388218
"
"x: -0.029912379
y: 0.03383907
z: 0.041969914
","x: -0.044643737
y: 0.016406238
z: 0.025612831
","x: -0.053155735
y: -0.007967906
z: -0.0059402226
","x: -0.067677945
y: -0.037092064
z: -0.012160124
","x: -0.018962331
y: -0.008258845
z: -0.0066708447
","x: -0.016578
y: -0.038423207
z: -0.013789619
","x: -0.018157762
y: -0.0555694
z: -0.022676457
","x: -0.015932672
y: -0.0712551
z: -0.04865406
","x: 0.00018964004
y: -0.003360889
z: -0.0014826971
","x: 0.01406147
y: -0.021288902
z: -0.017198933
","x: 0.029483201
y: -0.037300553
z: -0.036903817
","x: 0.048431948
y: -0.047096085
z: -0.07737788
"
