F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.02701508
y: 0.04313434
z: 0.04483592
","x: -0.041530415
y: 0.019542692
z: 0.025857674
","x: -0.0536665
y: -0.005019434
z: -0.004235207
","x: -0.060633034
y: -0.033098236
z: -0.018302813
","x: -0.015924811
y: -0.014190417
z: 0.003527686
","x: -0.012535045
y: -0.042738043
z: -0.004495799
","x: -0.01092332
y: -0.06535592
z: -0.0092754215
","x: -0.0075740647
y: -0.08365939
z: -0.028861811
","x: 0.00087942614
y: -0.006419581
z: -0.0005803733
","x: 0.007795628
y: -0.025249563
z: -0.020569379
","x: 0.01554885
y: -0.039603163
z: -0.039681487
","x: 0.024331067
y: -0.05734502
z: -0.072218314
"
"x: -0.026852801
y: 0.0441205
z: 0.046415254
","x: -0.041265782
y: 0.020073107
z: 0.026821155
","x: -0.054078434
y: -0.004499602
z: -0.0046316753
","x: -0.06198186
y: -0.03199842
z: -0.019995185
","x: -0.016297927
y: -0.0139548145
z: 0.00384452
","x: -0.012021912
y: -0.043134224
z: -0.0053385966
","x: -0.010795339
y: -0.06492624
z: -0.0102019
","x: -0.008144653
y: -0.082861304
z: -0.031497654
","x: 0.00080934784
y: -0.006933203
z: -0.00061454996
","x: 0.0062580244
y: -0.02568289
z: -0.021902293
","x: 0.013015326
y: -0.03965988
z: -0.041208234
","x: 0.022546915
y: -0.05687166
z: -0.074818686
"
"x: 0.0029808544
y: 0.057863344
z: 0.030966613
","x: 0.01936947
y: 0.034115262
z: 0.020381203
","x: 0.024402253
y: 0.0058986233
z: 0.0019093526
","x: 0.020041283
y: -0.013750893
z: -0.010609658
","x: 0.01476516
y: -0.0004249022
z: -0.009083749
","x: 0.026277797
y: -0.020585842
z: -0.007267472
","x: 0.04154262
y: -0.037488952
z: 0.00038370985
","x: 0.060423527
y: -0.049490012
z: 0.011442212
","x: 0.0017363364
y: -0.0033868006
z: -0.0050411234
","x: 0.022062078
y: -0.02063111
z: 0.0071594147
","x: 0.03966154
y: -0.02076048
z: 0.024033599
","x: 0.048311587
y: -0.013318531
z: 0.038123872
"
"x: -0.027399082
y: 0.043393478
z: 0.046721917
","x: -0.041180793
y: 0.020116739
z: 0.026105931
","x: -0.053057294
y: -0.0030436916
z: -0.007197067
","x: -0.05875419
y: -0.030087149
z: -0.023536151
","x: -0.014893777
y: -0.014173434
z: 0.003719175
","x: -0.0102470955
y: -0.042765915
z: -0.004923605
","x: -0.008850402
y: -0.06416799
z: -0.010198231
","x: -0.006423831
y: -0.08238349
z: -0.030798754
","x: 0.0014734124
y: -0.00667755
z: -0.00081843336
","x: 0.0074032843
y: -0.026521157
z: -0.021294063
","x: 0.015159636
y: -0.04056275
z: -0.040201027
","x: 0.023238316
y: -0.0580974
z: -0.07332478
"
"x: -0.025943225
y: 0.04411395
z: 0.046561006
","x: -0.040748656
y: 0.02190208
z: 0.026240438
","x: -0.054677762
y: -0.0026215208
z: -0.004709062
","x: -0.06254325
y: -0.028900325
z: -0.01948951
","x: -0.015712522
y: -0.01307559
z: 0.0025565505
","x: -0.011591126
y: -0.040917844
z: -0.006217944
","x: -0.010260072
y: -0.06203997
z: -0.012711342
","x: -0.0070829866
y: -0.080894835
z: -0.034627914
","x: 0.0011096252
y: -0.006286147
z: -0.0006883031
","x: 0.005719461
y: -0.024437698
z: -0.02314608
","x: 0.012975732
y: -0.03883828
z: -0.044799868
","x: 0.020775773
y: -0.053803932
z: -0.08007881
"
"x: 0.0021834746
y: 0.059156954
z: 0.032123365
","x: 0.018416591
y: 0.034070447
z: 0.026054833
","x: 0.024181167
y: 0.006300374
z: 0.012605275
","x: 0.02346839
y: -0.013062043
z: 0.001171666
","x: 0.013093823
y: -0.002949907
z: -0.0014870598
","x: 0.025931371
y: -0.02251595
z: -0.0009175483
","x: 0.042236704
y: -0.038578574
z: 0.005010303
","x: 0.06166461
y: -0.051113214
z: 0.016828254
","x: 0.0011297037
y: -0.004341646
z: -0.00399094
","x: 0.022244923
y: -0.022057869
z: 0.006959245
","x: 0.042896062
y: -0.024556905
z: 0.021573123
","x: 0.055829257
y: -0.018424047
z: 0.03776946
"
"x: -0.026500791
y: 0.043637708
z: 0.04610632
","x: -0.041057527
y: 0.020456772
z: 0.026693389
","x: -0.05420698
y: -0.0047952086
z: -0.0037253657
","x: -0.06110875
y: -0.032304276
z: -0.017793745
","x: -0.015320587
y: -0.013881348
z: 0.0023414239
","x: -0.011601357
y: -0.042035356
z: -0.0056616077
","x: -0.010022089
y: -0.06393231
z: -0.011717156
","x: -0.0068309894
y: -0.08169216
z: -0.032970227
","x: 0.0009817156
y: -0.0065983087
z: -0.00069586793
","x: 0.005734139
y: -0.025507355
z: -0.021621732
","x: 0.012369569
y: -0.04072392
z: -0.041308768
","x: 0.020596229
y: -0.057595577
z: -0.074145004
"
"x: 0.0021289382
y: 0.055972636
z: 0.031985108
","x: 0.01854384
y: 0.033099025
z: 0.02435173
","x: 0.026151763
y: 0.005790179
z: 0.007903943
","x: 0.023412637
y: -0.013570471
z: -0.00526851
","x: 0.01303806
y: -0.0020690642
z: -0.006258942
","x: 0.022887927
y: -0.021283917
z: -0.0039935797
","x: 0.037412837
y: -0.03656762
z: 0.001244824
","x: 0.05490581
y: -0.046193372
z: 0.008897471
","x: 0.0009273442
y: -0.0028827838
z: -0.005122398
","x: 0.023257101
y: -0.016560975
z: 0.006758794
","x: 0.04040619
y: -0.016245054
z: 0.022388602
","x: 0.046847336
y: -0.011187348
z: 0.03788905
"
"x: -0.024871081
y: 0.044426795
z: 0.044565517
","x: -0.03999114
y: 0.02157658
z: 0.024622899
","x: -0.054385133
y: -0.0020818026
z: -0.0053748833
","x: -0.062459834
y: -0.02876105
z: -0.020664964
","x: -0.015969483
y: -0.013102004
z: 0.0029328738
","x: -0.011809705
y: -0.041710295
z: -0.0049168835
","x: -0.009686904
y: -0.062413845
z: -0.0112025635
","x: -0.0053575104
y: -0.08083086
z: -0.031360593
","x: 0.0011101831
y: -0.0063732527
z: -0.0004687416
","x: 0.0056476993
y: -0.02520497
z: -0.021489533
","x: 0.01333699
y: -0.03966158
z: -0.04245506
","x: 0.021277413
y: -0.055141933
z: -0.07633033
"
"x: -0.024117704
y: 0.044149563
z: 0.04507934
","x: -0.04028196
y: 0.021810167
z: 0.02544101
","x: -0.05581645
y: -0.0025104731
z: -0.0050779143
","x: -0.063086495
y: -0.029368196
z: -0.020194331
","x: -0.016289696
y: -0.013920859
z: 0.0027789641
","x: -0.011910977
y: -0.043294
z: -0.005176344
","x: -0.009655463
y: -0.06359057
z: -0.011650918
","x: -0.0061727315
y: -0.08143159
z: -0.032987677
","x: 0.0009320371
y: -0.0068526976
z: -0.0005036803
","x: 0.005968878
y: -0.027140655
z: -0.020760095
","x: 0.013425712
y: -0.04231095
z: -0.039800763
","x: 0.021565545
y: -0.0581542
z: -0.073585294
"
